ean,name,category,regulation,description
5011501016136,Deep Freeze Gel 100g,Pain Relief,GSL,"Deep Freeze Gel 100g. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 100g."
5038483677995,Scholl Dual Action Foot File Split,Supports & Braces,No regulation,Scholl Dual Action Foot File Split. A support and mobility product.
3614227922792,Max Factor Lash Revival Volume Boosting Primer 11ml,First Aid,No regulation,"Max Factor Lash Revival Volume Boosting Primer 11ml. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 11ml."
5017007052302,Teva Fluconazole 150mg Capsule,Prescription Medicines,P,"Teva Fluconazole 150mg Capsule. Prescription-only medicine, supplied after an online consultation with our pharmacist. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 150mg."
4770001335314,Ecodenta Multifunctional Fluoride Toothpaste 100 ml,Oral Care,No regulation,Ecodenta Multifunctional Fluoride Toothpaste 100 ml. An oral care product. Supplied as 100 ml.
8711600357785,Lynx Africa 200ml,Beauty,No regulation,Lynx Africa 200ml. A health and beauty product. Supplied as 200ml.
3600523167586,L'Oréal Studio Pro Lock It Fixing Hairspray Strong 400ml,Hair Care,No regulation,L'Oréal Studio Pro Lock It Fixing Hairspray Strong 400ml. A hair care product. Supplied as 400ml.
8718951684119,Colgate Total Original Toothpaste 75ml,Oral Care,No regulation,Colgate Total Original Toothpaste 75ml. An oral care product. Supplied as 75ml.
3600522372639,L'Oréal Men Expert Shirt Protect 48H Anti-Perspirant Deodorant 50ml,Beauty,No regulation,L'Oréal Men Expert Shirt Protect 48H Anti-Perspirant Deodorant 50ml. A health and beauty product. Supplied as 50ml.
8809581077454,Beaudiani Pumpkin Mask 25ml,Skincare,No regulation,Beaudiani Pumpkin Mask 25ml. A skincare product. Supplied as 25ml.
8714100184943,Dove Pro Age Shampoo 400ml,Hair Care,No regulation,Dove Pro Age Shampoo 400ml. A hair care product. Supplied as 400ml.
5017848249916,Bells Chesty Cough Oral Solution 200ml,Cold & Flu,GSL,"Bells Chesty Cough Oral Solution 200ml. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 200ml."
5012583203117,Right Guard Xtreme Invisible 72H Protection Antiperspirant 150ml,Beauty,No regulation,Right Guard Xtreme Invisible 72H Protection Antiperspirant 150ml. A health and beauty product. Supplied as 150ml.
8710908829925,Sure Men Dry Antiperspirant Deodorant 150ml,Beauty,No regulation,Sure Men Dry Antiperspirant Deodorant 150ml. A health and beauty product. Supplied as 150ml.
8710522648780,Alberto Balsam Coconut Milk & Sandalwood Shampoo 250ml,Hair Care,No regulation,Alberto Balsam Coconut Milk & Sandalwood Shampoo 250ml. A hair care product. Supplied as 250ml.
5014749124373,CS Medic Knee Support Size M,Supports & Braces,No regulation,CS Medic Knee Support Size M. A support and mobility product.
5011597001627,Coral Bath Sponge,Beauty,No regulation,Coral Bath Sponge. A health and beauty product.
3574661366258,Benylin Dry & Tickly Cough 300ml,Cold & Flu,GSL,"Benylin Dry & Tickly Cough 300ml. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 300ml."
5060320560016,SUNVIT-D3 20000IU DD0500 (28),General Health,No regulation,SUNVIT-D3 20000IU DD0500 (28). A health and wellbeing product. Supplied as 20000IU.
4042809016758,WRIST BRACE L ACTIMOVE 7281945 LGE,Supports & Braces,No regulation,WRIST BRACE L ACTIMOVE 7281945 LGE. A support and mobility product.
4064665092905,OPI INFINITE SHINE 2.0 15ML NAIL POLISH THE FUTURE IS YOU,Beauty,No regulation,OPI INFINITE SHINE 2.0 15ML NAIL POLISH THE FUTURE IS YOU. A health and beauty product. Supplied as 15ML.
